n t
10 7.154
10 5.713
10 5.594
10 5.569
20 21.654
20 21.716
20 21.66
20 21.632
50 134.814
50 134.257
50 132.172
50 132.505
100 528.729
100 530.708
100 531.534
100 531.087
250 3310.57
250 3319.48
250 3358.12
250 3371.84
500 13497.9
500 13500
500 13525.6
500 13575.4
750 30462.2
750 30419.4
750 30450.4
750 30496.1
1000 54254.4
1000 54339.4
1000 54345.2
1000 54342.6
