n t
10 175.514
10 149.456
10 104.404
10 100.169
20 185.177
20 139.355
20 105.457
20 130.75
50 185.932
50 185.713
50 193.097
50 179.721
100 291.497
100 258.885
100 266.808
100 230.392
250 1030.39
250 1037.3
250 1035.93
250 947.446
500 3808.34
500 3690.64
500 3757.26
500 3366.33
750 8343.47
750 7593.16
750 8230.54
750 8176.52
1000 13200.6
1000 12936.3
1000 13139.4
1000 12854.6
