n t
10 22.538
10 22.623
10 22.542
10 45.593
20 42.244
20 42.304
20 42.238
20 43.036
50 201.486
50 200.863
50 204.471
50 200.878
100 629.972
100 596.14
100 595.846
100 595.805
250 2975.84
250 2975.26
250 2975.01
250 2974.81
500 10905.3
500 10902.1
500 11038
500 10908
750 23793.2
750 23956.5
750 23792.4
750 23797.8
1000 41647.4
1000 41643.8
1000 41638.8
1000 41645.4
