6.8771e-05 0.00528086 0.165693 1.31455 4.61307 3.47279 1.8176 0.186764 0.00584981 7.97958e-05 
0.00481813 0.550966 8.08259 12.3279 11.3847 12.0859 14.1816 10.6119 0.59399 0.00654739 
0.175893 6.25781 10.0398 13.3729 12.9906 13.1496 12.3446 12.2689 11.1844 0.231696 
1.97609 10.0739 12.1839 13.4479 15.332 15.8048 15.1228 12.8432 13.7283 1.67666 
3.53522 12.0759 11.3652 26.2494 20.0436 21.0612 27.3638 19.4648 15.4412 5.8434 
5.03609 9.77409 15.4717 26.173 32.909 37.72 32.7528 18.7965 14.469 6.70973 
2.04242 12.0885 12.6874 15.0627 20.1782 20.5967 15.0873 14.2186 13.338 2.40162 
0.180736 8.27367 11.7666 12.5939 14.0341 13.8822 12.6035 12.477 8.78368 0.21332 
0.00480311 0.65396 9.88345 11.0887 9.42161 13.1263 12.2221 11.2659 0.581137 0.00546741 
7.60858e-05 0.00663937 0.177171 1.53416 5.49409 5.85554 1.69534 0.214574 0.00644421 7.90591e-05 
