0.0336147 0.117885 0.373988 1.05434 2.58237 5.36801 9.2325 14.6613 19.7491 20.4093 19.873 18.404 15.8443 11.6722 6.71525 3.23862 1.31442 0.462429 0.146309 0.0423309 
0.117473 0.43163 1.42153 4.10368 9.93951 19.703 27.7054 35.6162 38.1212 41.2579 41.5013 41.2961 41.3012 35.0863 24.4344 12.6146 5.06822 1.74342 0.537092 0.149889 
0.371364 1.40727 4.73338 12.8919 26.955 37.3716 44.2102 48.3153 48.3148 51.3375 52.7694 51.722 54.137 56.947 52.0465 35.0011 15.9374 5.76122 1.78162 0.484489 
1.05969 3.95761 12.8696 28.4021 40.1119 48.8451 52.0057 52.4476 54.2906 54.5068 58.2213 60.4481 60.9592 60.2714 60.13 54.0218 35.1833 15.8675 5.25755 1.40581 
2.71714 9.85137 24.4413 38.6916 45.9906 50.7028 54.3933 58.2518 58.6018 60.3657 61.0909 64.2389 64.6974 61.3024 61.4802 56.9687 46.3098 34.0332 13.423 3.55094 
5.91786 20.3015 37.9489 45.9992 53.8551 56.9774 58.9777 60.0349 62.1398 65.6673 62.6562 64.05 65.2033 64.6845 63.5649 59.8653 55.0499 49.6646 26.6591 7.38312 
10.9166 30.4675 43.7258 48.525 54.8064 60.955 62.6243 63.7512 67.3575 69.1115 70.0588 70.2642 70.8172 69.7992 68.5572 62.9716 60.603 56.3781 37.7244 12.3006 
16.295 37.2903 45.651 52.8356 57.6021 66.559 71.268 73.1834 74.0591 76.3763 76.3829 76.7868 75.6799 78.314 77.7959 70.7325 64.035 58.6679 46.529 18.2407 
19.2454 41.9877 50.1984 52.5415 56.7422 72.728 89.7433 95.7152 90.5964 83.2028 85.9713 88.2637 94.7278 101.877 93.1217 80.665 69.3725 63.6609 49.4474 24.7621 
21.4777 39.9983 50.6507 54.0197 64.234 89.5566 128.259 134.322 113.029 102.374 106.382 117.822 139.812 151.98 121.002 94.794 80.6508 74.957 61.4002 33.825 
22.7793 40.5816 49.4276 55.8751 69.6957 93.5922 129.04 136.851 123.635 133.897 140.372 135.807 153.255 157.518 122.387 95.9778 82.6885 73.6371 61.6405 33.5698 
21.5086 44.5424 48.4004 58.4438 66.6481 79.2639 90.4874 102.833 117.962 159.648 167.213 137.421 123.513 112.131 97.6547 83.4355 76.8103 65.6163 52.7862 26.4365 
18.0256 42.8558 48.636 52.1499 58.6433 66.0534 71.8434 81.2326 99.2662 122.912 129.174 110.011 96.1824 86.9908 80.8611 74.6419 71.3725 63.0533 45.8603 19.881 
11.8823 33.1937 46.4386 50.0601 54.6689 57.4929 64.7729 70.9717 79.678 87.5635 87.9082 83.0596 77.652 71.2255 69.925 67.551 63.1034 54.096 40.3509 13.6432 
6.41753 21.5216 41.8529 51.0589 51.9573 51.8789 59.1077 61.9253 68.4742 74.1897 75.1858 69.6332 68.3557 64.1399 63.3151 62.3439 55.8404 44.0262 25.5469 7.4354 
2.85055 10.3589 27.1301 43.019 50.6597 50.8881 53.6809 55.1929 59.6849 63.6392 67.139 67.5202 66.5627 60.8474 62.9645 57.6492 48.8591 30.424 11.5997 3.25641 
1.09312 4.09852 13.6654 33.9033 46.8555 51.3059 51.1145 50.793 54.4002 55.2214 59.0688 65.0818 61.6575 58.9741 59.4774 50.967 33.4833 14.7917 4.64669 1.24808 
0.384046 1.49169 5.39239 16.8542 32.5686 44.7587 44.3414 47.8306 46.399 50.1788 53.8085 56.5197 54.1066 51.7582 50.0479 35.0657 16.0126 5.60821 1.65861 0.438778 
0.124725 0.478834 1.67847 4.97249 11.6009 21.4412 29.3508 36.7552 39.5615 45.0162 47.9924 42.9369 37.6567 34.8144 25.4409 13.3357 5.25992 1.76275 0.523 0.140943 
0.036749 0.13385 0.436242 1.21734 2.85992 5.66986 9.84634 15.4351 20.4096 24.5985 27.211 20.3204 15.4081 11.4728 7.00542 3.42495 1.38207 0.477704 0.147004 0.0412111 
